City,Temperature,Humidity,Cloudiness,Wind_Speed,Latitude
nicoya,79.66,75,74,3.65,10.1483
dikson,22.12,91,100,6.31,73.5069
sale,50.72,93,0,6.33,34.0389
mubi,84.49,34,100,1.1,10.2676
sao filipe,72.34,71,9,9.71,14.8961
sitka,46.4,71,20,8.05,57.0531
upernavik,20.84,80,8,4.52,72.7868
nargana,79.45,78,100,2.8,9.4428
erzurum,33.8,86,0,2.3,40.0
dawei,85.89,60,31,1.39,14.0833
marigot,78.33,78,20,11.5,18.0667
pochutla,82.99,71,99,5.01,15.7432
aktau,55.4,44,0,8.95,43.65
berlevag,31.59,67,99,12.33,70.8578
asosa,67.21,69,100,3.11,10.0667
kapaa,77.18,73,75,12.66,22.0752
albany,45.77,55,99,2.71,42.6001
tiksi,25.56,94,100,5.23,71.6872
victoria,80.35,81,88,3.65,22.2855
san cristobal,75.2,100,75,2.3,7.7669
skovorodino,52.93,41,85,6.82,53.9833
alihe,58.87,29,99,6.15,50.5667
bud,64.67,57,99,13.35,39.447
barrow,21.2,79,90,13.8,71.2906
glendive,66.15,22,1,8.05,47.1053
mizan teferi,61.29,94,99,2.64,6.9833
the valley,78.26,78,20,11.5,18.217
aswan,82.08,16,0,10.16,24.0934
talnakh,21.69,97,98,1.52,69.4865
hilo,73.58,69,90,11.5,19.7297
ilulissat,35.6,75,9,4.61,69.2167
cocentaina,57.45,89,100,5.01,38.7398
tuktoyaktuk,17.6,86,90,4.61,69.4541
paamiut,37.76,61,59,9.17,61.994
matay,76.96,24,0,8.41,28.419
aklavik,25.66,80,100,5.75,68.2191
ossora,29.35,65,0,4.41,59.2353
kavaratti,84.24,73,71,1.66,10.5669
katsuura,65.61,48,20,32.21,35.1333
jodhpur,87.06,28,87,9.4,26.2867
alexandria,66.2,59,0,5.75,31.2156
champerico,65.8,96,99,1.01,14.3
nouadhibou,66.2,72,98,19.57,20.931
kralendijk,80.6,78,20,12.66,12.15
cockburn town,78.76,75,27,16.24,21.4612
cherskiy,21.99,75,18,2.33,68.75
coahuayana,74.21,68,27,2.62,18.7333
the pas,42.8,70,40,8.05,53.8251
qaanaaq,28.06,54,32,7.07,77.484
haines junction,46.4,42,95,9.22,60.7522
shieli,60.24,30,92,18.97,44.1667
nanakuli,79.9,57,20,12.66,21.3906
yerbogachen,41.61,77,24,5.95,61.2767
lomovka,51.8,40,40,11.18,53.9194
camargo,69.94,28,0,7.18,27.6667
channel-port aux basques,37.8,93,100,21.27,47.5702
nalut,75.42,28,100,16.89,30.3333
kyabe,81.14,54,95,4.88,9.4515
saskylakh,33.13,99,100,2.46,71.9167
provideniya,27.48,54,98,5.5,64.3833
taos,65.05,15,1,9.22,36.4072
rizhao,58.64,38,0,7.85,35.4275
san patricio,69.6,94,40,5.75,28.017
narsaq,42.8,26,10,41.43,60.9167
aojiang,83.5,50,94,5.1,22.9421
colon,78.24,83,90,2.3,9.3592
tilichiki,24.69,70,5,8.41,60.4667
wageningen,38.82,87,90,3.44,51.9667
basco,80.19,79,92,9.75,20.4487
tezu,74.23,81,100,2.84,27.9167
